,width,height
0,216,319
1,300,428
2,300,444
3,300,420
4,300,464
5,300,432
6,259,475
7,300,414
8,225,352
9,300,450
10,300,427
11,150,223
12,300,427
13,300,437
14,216,338
15,89,132
16,300,425
17,300,427
18,300,440
19,225,345
20,300,450
21,300,429
22,300,460
23,300,450
24,300,450
25,300,444
26,216,325
27,150,235
28,300,424
29,216,323
30,300,450
31,300,431
32,216,294
33,300,412
34,300,428
35,216,311
36,300,434
37,225,353
38,225,353
39,144,227
40,300,450
41,216,332
42,216,321
43,225,350
44,263,475
45,300,444
46,300,427
47,300,450
48,300,421
49,225,355
50,89,132
51,300,429
52,216,325
53,300,206
54,300,442
55,258,475
56,300,450
57,300,394
58,300,428
59,300,425
60,300,424
61,300,450
62,300,442
63,225,356
64,261,475
65,216,335
66,300,451
67,300,424
68,298,440
69,300,423
70,216,340
71,300,427
72,300,444
73,263,475
74,300,450
75,300,425
76,300,433
77,216,327
78,300,436
79,216,338
80,300,439
81,300,407
82,300,428
83,300,420
84,89,142
85,300,438
86,300,397
87,144,226
88,300,425
89,216,341
90,300,444
91,300,422
92,216,278
93,300,427
94,300,438
95,144,222
96,144,221
97,300,444
98,300,425
99,300,423
100,150,230
101,300,473
102,300,403
103,300,362
104,300,432
105,300,406
106,300,444
107,300,427
108,263,475
109,216,326
110,300,425
111,300,466
112,300,409
113,300,433
114,216,324
115,300,439
116,300,469
117,300,431
118,300,420
119,300,446
120,300,459
121,300,467
122,300,428
123,300,366
124,300,407
125,300,422
126,300,450
127,262,475
128,300,427
129,300,419
130,300,438
131,300,424
132,89,132
133,216,326
134,225,349
135,300,425
136,89,132
137,300,366
138,225,351
139,225,352
140,300,423
141,280,216
142,300,431
143,216,330
144,300,467
145,300,417
146,300,423
147,300,450
148,300,424
149,216,330
150,300,379
151,300,425
152,300,423
153,300,456
154,300,403
155,300,450
156,89,132
157,300,406
158,300,463
159,200,286
160,216,332
161,300,426
162,259,475
163,300,451
164,300,425
165,300,366
166,300,369
167,300,431
168,300,455
169,300,400
170,216,337
171,300,379
172,300,444
173,300,429
174,300,407
175,300,407
176,225,344
177,300,450
178,300,348
179,300,462
180,144,222
181,258,475
182,300,366
183,300,429
184,300,437
185,300,425
186,300,418
187,300,450
188,300,401
189,300,409
190,255,475
191,216,581
192,300,457
193,300,450
194,266,475
195,266,475
196,300,450
197,300,434
198,274,475
199,264,475
200,300,469
201,300,457
202,300,453
203,300,450
204,300,427
205,259,475
206,300,437
207,300,338
208,264,475
209,216,314
210,300,450
211,216,322
212,216,342
213,300,423
214,300,409
215,300,444
216,300,450
217,300,423
218,300,409
219,89,132
220,300,423
221,300,425
222,300,430
223,300,460
224,216,318
225,300,419
226,260,475
227,300,437
228,225,348
229,300,424
230,300,450
231,216,345
232,300,423
233,300,433
234,300,413
235,216,343
236,260,475
237,300,436
238,300,427
239,282,216
240,300,444
241,300,420
242,300,432
243,300,429
244,300,450
245,300,421
246,300,419
247,300,450
248,300,440
249,300,422
250,89,140
251,300,445
252,277,475
253,300,427
254,300,432
255,300,449
256,300,413
257,300,405
258,300,450
259,300,428
260,216,336
261,300,434
262,300,427
263,248,475
264,300,430
265,300,432
266,267,475
267,300,415
268,300,430
269,300,424
270,300,428
271,300,436
272,300,450
273,276,400
274,300,412
275,300,446
276,300,459
277,300,452
278,300,438
279,300,424
280,300,430
281,300,444
282,300,400
283,300,446
284,300,432
285,216,320
286,261,475
287,300,429
288,300,425
289,300,450
290,300,444
291,300,413
292,300,450
293,295,216
294,300,423
295,300,431
296,300,450
297,264,475
298,300,448
299,300,444
300,300,430
301,300,419
302,149,205
303,300,431
304,300,445
305,300,450
306,300,397
307,300,423
308,300,464
309,300,425
310,300,450
311,300,444
312,300,432
313,300,458
314,216,334
315,300,429
316,300,450
317,300,429
318,300,455
319,300,450
320,300,459
321,300,425
322,257,475
323,300,421
324,300,443
325,300,438
326,300,427
327,300,450
328,300,450
329,216,333
330,265,475
331,300,433
332,300,424
333,300,422
334,300,400
335,300,444
336,300,427
337,300,450
338,300,437
339,215,326
340,300,413
341,216,306
342,300,427
343,256,475
344,300,450
345,300,461
346,225,343
347,295,475
348,300,434
349,300,425
350,262,475
351,300,418
352,300,450
353,300,371
354,300,427
355,300,424
356,300,454
357,300,424
358,300,424
359,216,336
360,216,319
361,300,440
362,300,437
363,216,322
364,260,475
365,216,337
366,216,319
367,216,344
368,225,350
369,300,473
370,300,450
371,300,212
372,300,445
373,300,424
374,300,433
375,300,429
376,300,414
377,300,394
378,300,455
379,300,438
380,300,371
381,300,425
382,216,330
383,300,424
384,300,445
385,300,426
386,300,440
387,297,475
388,300,424
389,300,403
390,300,425
391,300,412
392,300,424
393,300,438
394,300,436
395,300,425
396,300,427
397,300,452
398,300,424
399,258,475
400,300,424
401,300,404
402,300,437
403,300,456
404,300,436
405,216,341
406,300,444
407,300,396
408,300,438
409,300,425
410,300,450
411,300,444
412,300,437
413,300,432
414,300,444
415,300,424
416,263,475
417,287,419
418,300,426
419,300,450
420,300,450
421,262,475
422,300,431
423,300,450
424,261,475
425,300,434
426,300,406
427,300,423
428,300,431
429,300,409
430,300,450
431,300,422
432,300,421
433,216,336
434,300,425
435,300,444
436,300,431
437,300,420
438,300,438
439,253,475
440,300,425
441,300,468
442,264,475
443,300,457
444,216,332
445,89,132
446,300,461
447,260,475
448,216,324
449,300,421
450,300,409
451,300,441
452,269,500
453,300,409
454,300,424
455,300,429
456,300,450
457,300,443
458,300,409
459,216,325
460,300,459
461,300,362
462,300,446
463,300,438
464,300,408
465,300,432
466,300,427
467,300,430
468,216,317
469,216,334
470,300,444
471,300,450
472,300,450
473,300,362
474,262,475
475,300,409
476,300,424
477,300,427
478,300,457
479,300,469
480,300,454
481,300,220
482,300,458
483,300,204
484,300,444
485,300,431
486,300,419
487,300,429
488,259,475
489,300,407
490,300,453
491,300,450
492,262,475
493,300,433
494,300,425
495,300,418
496,300,438
497,300,429
498,300,429
499,89,141
500,300,433
501,300,445
502,300,438
503,300,425
504,300,450
505,300,425
506,300,425
507,300,403
508,300,437
509,300,428
510,300,446
511,300,429
512,300,450
513,300,423
514,300,424
515,300,226
516,89,132
517,300,434
518,300,419
519,300,428
520,300,431
521,300,412
522,300,424
523,150,210
524,300,436
525,300,427
526,300,426
527,300,444
528,300,414
529,300,428
530,300,434
531,263,475
532,261,475
533,300,457
534,300,450
535,300,423
536,300,364
537,300,417
538,300,430
539,300,434
540,300,459
541,300,450
542,300,450
543,300,429
544,300,450
545,216,284
546,300,465
547,300,450
548,300,450
549,300,436
550,300,404
551,300,439
552,300,409
553,300,437
554,300,444
555,300,429
556,225,350
557,300,400
558,300,434
559,300,425
560,300,428
561,300,404
562,300,439
563,300,362
564,300,450
565,300,420
566,300,423
567,300,444
568,300,421
569,300,437
570,200,280
571,225,327
572,300,424
573,300,427
574,300,369
575,300,450
576,300,444
577,300,419
578,300,417
579,300,450
580,300,422
581,300,427
582,300,450
583,300,408
584,261,475
585,216,336
586,300,425
587,300,450
588,300,432
589,300,213
590,284,400
591,300,429
592,258,475
593,300,434
594,300,448
595,300,423
596,300,436
597,300,400
598,261,475
599,297,475
600,300,423
601,300,437
602,300,459
603,300,423
604,300,455
605,300,437
606,300,300
607,300,415
608,300,414
609,216,328
610,300,420
611,255,475
612,300,445
613,300,434
614,300,411
615,300,413
616,300,300
617,300,425
618,300,437
619,300,408
620,255,475
621,300,412
622,300,446
623,300,437
624,300,429
625,225,352
626,300,366
627,300,450
628,300,434
629,300,425
630,300,413
631,150,228
632,300,435
633,300,251
634,300,431
635,300,464
636,300,450
637,300,431
638,260,475
639,300,408
640,300,429
641,300,423
642,225,339
643,300,457
644,300,446
645,300,432
646,300,424
647,293,475
648,300,424
649,300,433
650,300,455
651,300,427
652,300,434
653,300,432
654,300,424
655,300,455
656,300,409
657,300,407
658,300,450
659,300,425
660,258,475
661,300,436
662,300,429
663,300,424
664,300,436
665,300,429
666,300,450
667,300,461
668,300,440
669,225,352
670,300,429
671,300,444
672,300,424
673,300,412
674,300,397
675,300,433
676,300,444
677,300,424
678,300,436
679,300,450
680,300,429
681,300,454
682,300,457
683,300,425
684,300,457
685,300,413
686,216,325
687,300,420
688,300,450
689,300,420
690,300,423
691,300,400
692,300,437
693,263,475
694,216,306
695,300,452
696,300,428
697,300,438
698,225,358
699,300,438
700,260,475
701,300,455
702,260,475
703,216,326
704,300,450
705,279,475
706,300,464
707,300,437
708,300,423
709,300,438
710,300,424
711,300,436
712,300,426
713,300,424
714,300,422
715,300,450
716,300,450
717,300,450
718,300,465
719,300,426
720,300,411
721,300,450
722,144,227
723,300,450
724,300,445
725,300,434
726,300,450
727,300,450
728,216,337
729,300,425
730,300,427
731,300,429
732,300,225
733,300,437
734,300,450
735,300,422
736,300,447
737,300,431
738,300,450
739,300,418
740,300,432
741,300,300
742,300,450
743,300,427
744,300,425
745,300,448
746,257,475
747,262,475
748,216,329
749,216,347
750,300,427
751,300,444
752,300,300
753,300,472
754,300,425
755,262,475
756,300,438
757,300,431
758,300,413
759,300,450
760,300,412
761,300,417
762,300,437
763,300,459
764,216,324
765,300,450
766,300,433
767,300,456
768,300,466
769,300,429
770,300,433
771,300,400
772,300,424
773,259,475
774,300,431
775,300,431
776,300,440
777,300,428
778,300,460
779,300,438
780,300,427
781,266,475
782,262,475
783,262,475
784,300,429
785,300,394
786,300,438
787,300,423
788,300,424
789,259,475
790,300,445
791,300,408
792,216,324
793,300,434
794,300,450
795,300,418
796,300,425
797,300,428
798,300,408
799,300,444
800,300,361
801,300,425
802,300,194
803,300,424
804,300,437
805,300,423
806,300,428
807,216,328
808,300,450
809,256,475
810,300,457
811,300,439
812,300,418
813,300,453
814,300,450
815,265,475
816,300,450
817,300,434
818,300,300
819,225,366
820,300,444
821,216,341
822,258,475
823,271,475
824,300,444
825,300,424
826,300,434
827,300,444
828,300,415
829,300,424
830,300,450
831,300,437
832,216,324
833,300,424
834,300,437
835,300,423
836,300,423
837,225,341
838,300,429
839,299,475
840,300,401
841,300,471
842,280,400
843,282,400
844,216,317
845,300,426
846,300,422
847,300,428
848,300,431
849,300,444
850,300,408
851,225,357
852,144,260
853,300,450
854,300,444
855,300,427
856,300,448
857,300,428
858,300,464
859,300,450
860,300,414
861,300,423
862,300,429
863,300,447
864,300,401
865,300,399
866,300,450
867,263,475
868,300,405
869,300,439
870,300,430
871,300,438
872,216,341
873,300,413
874,300,450
875,300,427
876,300,210
877,262,475
878,216,324
879,300,432
880,216,330
881,300,380
882,300,450
883,264,475
884,216,308
885,300,426
886,216,323
887,300,436
888,279,475
889,300,450
890,89,132
891,300,450
892,300,424
893,300,400
894,300,443
895,300,432
896,300,450
897,300,425
898,300,419
899,300,422
900,267,475
901,300,450
902,300,450
903,300,440
904,300,450
905,300,300
906,200,300
907,300,450
908,300,443
909,258,475
910,300,435
911,300,444
912,150,213
913,300,450
914,300,423
915,300,196
916,300,425
917,300,444
918,300,445
919,300,450
920,280,400
921,269,475
922,216,337
923,300,183
924,300,430
925,300,450
926,216,323
927,262,475
928,300,450
929,300,201
930,300,429
931,300,450
932,300,450
933,296,475
934,300,450
935,300,444
936,300,425
937,300,459
938,300,450
939,266,475
940,300,338
941,300,208
942,197,295
943,300,450
944,300,434
945,300,425
946,216,326
947,300,425
948,216,332
949,300,444
950,300,429
951,300,412
952,216,338
953,300,423
954,300,436
955,300,366
956,300,427
957,216,331
958,300,444
959,300,436
960,300,444
961,300,431
962,300,448
963,216,326
964,300,420
965,300,433
966,300,434
967,300,437
968,300,425
969,300,424
